date,price,open,high,low,volume,change
2025-05-06,16430.4,16413.6,16499.0,16426.8,,0.0002
2025-05-05,16426.8,16413.6,16460.0,16375.0,,-0.0005
2025-05-02,16435.0,16615.0,16615.0,16424.5,,-0.0099
2025-05-01,16600.0,16600.0,16600.0,16600.0,,0.0
2025-04-30,16600.0,16715.0,16742.5,16597.5,,-0.0095
2025-04-29,16760.0,16810.0,16815.0,16759.5,,-0.0056
2025-04-28,16855.0,16835.0,16867.0,16830.0,,0.0015
2025-04-25,16830.0,16825.0,16842.5,16807.5,,-0.0024
2025-04-24,16870.0,16867.5,16887.5,16862.5,,0.0003
2025-04-23,16865.0,16870.0,16887.5,16855.0,,0.0006
2025-04-22,16855.0,16835.0,16867.5,16835.0,,0.0033
2025-04-21,16800.0,16825.0,16837.5,16795.0,,-0.0012
2025-04-18,16820.0,16820.0,16820.0,16820.0,,0.0
2025-04-17,16820.0,16830.0,16845.0,16802.5,,0.0
2025-04-16,16820.0,16815.0,16855.0,16815.0,,0.0006
2025-04-15,16810.0,16782.5,16825.0,16770.0,,0.0024
2025-04-14,16770.0,16787.5,16793.5,16750.0,,-0.0012
2025-04-11,16790.0,16797.5,16820.0,16765.0,,-0.0003
2025-04-10,16795.0,16815.0,16815.0,16727.5,,-0.0039
2025-04-09,16860.0,16925.0,16972.5,16862.5,,0.0
2025-04-08,16860.0,16852.5,16874.0,16825.0,,0.0184
2025-04-07,16555.0,16555.0,16555.0,16555.0,,0.0
2025-04-04,16555.0,16555.0,16555.0,16555.0,,0.0
2025-04-03,16555.0,16555.0,16555.0,16555.0,,0.0
2025-04-02,16555.0,16555.0,16555.0,16555.0,,0.0
2025-04-01,16555.0,16555.0,16555.0,16555.0,,0.0
2025-03-31,16555.0,16555.0,16555.0,16555.0,,0.0
2025-03-28,16555.0,16555.0,16555.0,16555.0,,0.0
2025-03-27,16555.0,16610.0,16615.0,16541.5,,-0.0012
2025-03-26,16575.0,16605.0,16615.0,16560.0,,-0.0009
2025-03-25,16590.0,16597.5,16645.0,16587.5,,0.0024
2025-03-24,16550.0,16495.0,16570.0,16495.0,,0.0033
2025-03-21,16495.0,16497.5,16516.5,16475.0,,0.0015
2025-03-20,16470.0,16530.0,16537.5,16460.0,,-0.003
2025-03-19,16520.0,16500.0,16537.5,16485.0,,0.0061
2025-03-18,16420.0,16400.0,16477.5,16386.5,,0.0015
2025-03-17,16395.0,16325.0,16402.5,16315.0,,0.0031
2025-03-14,16345.0,16405.0,16417.5,16347.5,,-0.0046
2025-03-13,16420.0,16465.0,16467.5,16400.0,,-0.0012
2025-03-12,16440.0,16440.0,16465.0,16430.0,,0.0024
2025-03-11,16400.0,16385.0,16451.0,16377.5,,0.004
2025-03-10,16335.0,16295.0,16355.0,16285.0,,0.0028
2025-03-07,16290.0,16335.0,16360.0,16292.0,,-0.0021
2025-03-06,16325.0,16275.0,16345.0,16260.0,,0.0009
2025-03-05,16310.0,16410.0,16437.5,16307.5,,-0.0079
2025-03-04,16440.0,16450.0,16467.5,16425.0,,-0.0021
2025-03-03,16475.0,16540.0,16545.0,16475.0,,-0.006
2025-02-28,16575.0,16535.0,16592.5,16515.0,,0.0079
2025-02-27,16445.0,16390.0,16455.0,16390.0,,0.0049
2025-02-26,16365.0,16352.5,16410.0,16287.5,,0.0015
2025-02-25,16340.0,16290.0,16357.5,16280.0,,0.0043
2025-02-24,16270.0,16310.0,16327.5,16270.0,,-0.0018
2025-02-21,16300.0,16290.0,16317.5,16272.5,,-0.0015
2025-02-20,16325.0,16355.0,16372.5,16322.0,,-0.0003
2025-02-19,16330.0,16320.0,16372.5,16307.5,,0.0037
2025-02-18,16270.0,16237.5,16293.5,16232.5,,0.0037
2025-02-17,16210.0,16185.0,16227.0,16174.0,,-0.0028
2025-02-14,16255.0,16290.0,16315.0,16247.5,,-0.0058
2025-02-13,16350.0,16385.0,16400.0,16348.5,,-0.0006
2025-02-12,16360.0,16357.5,16380.5,16346.5,,-0.0006
2025-02-11,16370.0,16367.5,16390.0,16355.0,,0.0018
2025-02-10,16340.0,16320.0,16357.5,16317.5,,0.0043
